dt,power_consumption
2006-12-16,14680.933333333332
2006-12-17,36946.666666666664
2006-12-18,19028.433333333334
2006-12-19,13131.9
2006-12-20,20384.8
2006-12-21,13809.566666666668
2006-12-22,24390.3
2006-12-23,61736.433333333334
2006-12-24,28824.2
2006-12-25,31341.666666666668
2006-12-26,46970.5
2006-12-27,18189.333333333332
2006-12-28,18741.966666666667
2006-12-29,35163.53333333333
2006-12-30,23105.6
2006-12-31,51387.6
2007-01-01,39584.73333333333
2007-01-02,14243.933333333332
2007-01-03,11791.9
2007-01-04,34779.53333333333
2007-01-05,35758.73333333333
2007-01-06,17723.633333333335
2007-01-07,17819.666666666668
2007-01-08,19342.0
2007-01-09,15405.9
2007-01-10,19674.333333333332
2007-01-11,21623.566666666666
2007-01-12,15639.933333333332
2007-01-13,30991.566666666666
2007-01-14,31200.316666666666
2007-01-15,17310.3
2007-01-16,18816.733333333334
2007-01-17,22160.466666666667
2007-01-18,16530.7
2007-01-19,15069.0
2007-01-20,31242.866666666665
2007-01-21,29275.7
2007-01-22,20943.566666666666
2007-01-23,23502.333333333332
2007-01-24,32109.566666666666
2007-01-25,13946.733333333334
2007-01-26,17304.2
2007-01-27,16627.866666666665
2007-01-28,32015.916666666668
2007-01-29,16373.4
2007-01-30,17767.3
2007-01-31,18393.866666666665
2007-02-01,15711.666666666666
2007-02-02,16101.6
2007-02-03,40009.03333333333
2007-02-04,37472.333333333336
2007-02-05,16112.333333333334
2007-02-06,15117.666666666666
2007-02-07,20002.3
2007-02-08,17274.566666666666
2007-02-09,14188.3
2007-02-10,24848.466666666667
2007-02-11,39211.46666666667
2007-02-12,17150.5
2007-02-13,14491.766666666666
2007-02-14,22977.533333333333
2007-02-15,16698.1
2007-02-16,17679.466666666667
2007-02-17,23467.2
2007-02-18,36590.36666666667
2007-02-19,18824.566666666666
2007-02-20,35536.8
2007-02-21,17140.9
2007-02-22,38431.333333333336
2007-02-23,10602.333333333334
2007-02-24,7990.366666666667
2007-02-25,6373.333333333333
2007-02-26,6313.733333333334
2007-02-27,6397.2
2007-02-28,6366.566666666667
2007-03-01,6330.066666666667
2007-03-02,6285.8
2007-03-03,8708.033333333333
2007-03-04,15250.0
2007-03-05,16476.866666666665
2007-03-06,14335.0
2007-03-07,18236.766666666666
2007-03-08,13982.2
2007-03-09,11141.2
2007-03-10,20880.866666666665
2007-03-11,40280.6
2007-03-12,15914.133333333333
2007-03-13,10970.4
2007-03-14,17317.4
2007-03-15,17114.566666666666
2007-03-16,17287.566666666666
2007-03-17,18959.5
2007-03-18,19728.433333333334
2007-03-19,17423.3
2007-03-20,16933.466666666667
2007-03-21,17368.533333333333
2007-03-22,12698.633333333333
2007-03-23,11543.8
2007-03-24,23587.833333333332
2007-03-25,38022.88333333333
2007-03-26,13073.366666666667
2007-03-27,11703.0
2007-03-28,15361.3
2007-03-29,14160.766666666666
2007-03-30,13594.233333333334
2007-03-31,30482.833333333332
2007-04-01,16893.533333333333
2007-04-02,13313.633333333333
2007-04-03,15071.333333333334
2007-04-04,15595.8
2007-04-05,14848.633333333333
2007-04-06,12053.666666666666
2007-04-07,15737.733333333334
2007-04-08,22783.6
2007-04-09,9700.0
2007-04-10,9433.066666666668
2007-04-11,7258.366666666667
2007-04-12,6602.766666666666
2007-04-13,6637.7
2007-04-14,6651.8
2007-04-15,8183.733333333334
2007-04-16,8960.166666666666
2007-04-17,12275.566666666668
2007-04-18,11273.433333333332
2007-04-19,9058.3
2007-04-20,8781.666666666666
2007-04-21,9727.266666666666
2007-04-22,19575.566666666666
2007-04-23,9663.1
2007-04-24,8869.666666666666
2007-04-25,10788.366666666667
2007-04-26,10925.766666666666
2007-04-27,11165.866666666667
2007-04-28,10824.427783745077
2007-04-29,8223.01611170784
2007-04-30,7944.322771213749
2007-05-01,14184.966666666667
2007-05-02,11473.766666666666
2007-05-03,6703.633333333333
2007-05-04,9848.466666666667
2007-05-05,9341.866666666667
2007-05-06,20776.066666666666
2007-05-07,12080.4
2007-05-08,14452.533333333333
2007-05-09,9639.266666666666
2007-05-10,7057.066666666667
2007-05-11,8431.233333333334
2007-05-12,10296.1
2007-05-13,12261.633333333333
2007-05-14,13353.033333333333
2007-05-15,9347.2
2007-05-16,11169.733333333334
2007-05-17,9756.266666666666
2007-05-18,11893.166666666666
2007-05-19,11589.033333333333
2007-05-20,18041.466666666667
2007-05-21,9139.7
2007-05-22,9999.866666666667
2007-05-23,11548.6
2007-05-24,9422.8
2007-05-25,11718.666666666666
2007-05-26,11449.133333333333
2007-05-27,15552.8
2007-05-28,12678.133333333333
2007-05-29,11450.0
2007-05-30,10829.1
2007-05-31,10678.5
2007-06-01,9275.833333333334
2007-06-02,11885.366666666667
2007-06-03,14285.766666666666
2007-06-04,8239.633333333333
2007-06-05,12355.866666666667
2007-06-06,12425.55
2007-06-07,10773.7
2007-06-08,10181.766666666666
2007-06-09,10029.0
2007-06-10,10237.866666666667
2007-06-11,7429.233333333334
2007-06-12,9057.766666666666
