country_name,country_code,indicator_name,indicator_code,value,year
Philippines,PHL,"Age at first marriage, male",SP.DYN.SMAM.MA,26.1,2003
Philippines,PHL,Age dependency ratio (% of working-age population),SP.POP.DPND,89.1258168758855,1977
Philippines,PHL,Age dependency ratio (% of working-age population),SP.POP.DPND,72.3804286076352,1999
Philippines,PHL,"Age dependency ratio, young",SP.POP.DPND.YG,77.8188829214792,1983
Philippines,PHL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,38.48,1972
Philippines,PHL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.446,1989
Philippines,PHL,Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,0.0992753193713725,2014
Philippines,PHL,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,91.9,2002
Philippines,PHL,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,52.4,2014
Philippines,PHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.46381121873856,2013
Philippines,PHL,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,97.143440246582,2002
Philippines,PHL,Demand for family planning satisfied by any methods (% of married women with demand for family planning),SH.FPL.SATI.ZS,76.5,2017
Philippines,PHL,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,3.7908922880888,2001
Philippines,PHL,External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,1.65886795520782,2014
Philippines,PHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.805,2015
Philippines,PHL,"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,0.604,2017
Philippines,PHL,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.03,2006
Philippines,PHL,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,0.01,2004
Philippines,PHL,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,0.176744881429807,2018
Philippines,PHL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,93.5645294189453,2003
Philippines,PHL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,96.0367736816406,1994
Philippines,PHL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,97.7508010864258,2008
Philippines,PHL,"Malnutrition prevalence, weight for age (% of children under 5)",SH.STA.MALN.ZS,29.9,1990
Philippines,PHL,"Malnutrition prevalence, weight for age (% of children under 5)",SH.STA.MALN.ZS,19.1,2018
Philippines,PHL,"Malnutrition prevalence, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,20.4,2011
